"","V1","city","gu","ad_dong","id","adstrd_code","cul_mean_amt","hel_mean_amt","medi_mean_amt","mean_commerce","conv_dep","mean_dep","bus_sum","wdoverwk","sub_sum","cluster","highsat","satis_ind"
"1",1,"서울특별시","종로구","청운효자동",1101072,1111051500,1.36170212765957,1.14285714285714,46.112582781457,369.077669902913,211.525242038964,425.092124090291,26,1.08979007731645,0,2,0,0.457725460647256
"2",2,"서울특별시","종로구","사직동",1101053,1111053000,16.7037914691943,21.4746376811594,109.643518518519,807.141552511416,173.407055999434,618.497795452564,29,1.67499607113554,2,2,0,0.550075022846742
"3",3,"서울특별시","종로구","삼청동",1101054,1111054000,1.31746031746032,1.86440677966102,10.5443786982249,205.859589041096,198.2104532964,347.54201784375,15,1.09028709177705,0,2,0,0.380087294930714
"4",4,"서울특별시","종로구","부암동",1101055,1111055000,1.07692307692308,1.16666666666667,7.59030837004405,274.752577319588,92.7093808985515,441.296805700167,34,0.979340089988526,0,2,0,0.466676226447557
"5",5,"서울특별시","종로구","평창동",1101056,1111056000,4.06965174129353,1.32142857142857,31.1105769230769,318.490740740741,117.777109315377,402.814453798361,57,0.891549221479395,0,2,0,0.470678326641765
"6",6,"서울특별시","종로구","무악동",1101057,1111057000,1.42857142857143,1.125,70.9421338155515,216.324817518248,266.136354679129,657.743917605556,3,1.14805161124492,0,3,0,0.783314894601658
"7",7,"서울특별시","종로구","교남동",1101058,1111058000,1.55555555555556,1.6,265.067381316998,364.546052631579,289.97691758053,744.733386922642,24,1.27899618059403,0,3,0,1.05738177715476
"8",8,"서울특별시","종로구","가회동",1101060,1111060000,2.02100840336134,8.52873563218391,12.6105919003115,258.66095890411,127.269739602225,468.402384415,22,1.61407346466769,0,2,0,0.446619799514905
"9",9,"서울특별시","종로구","종로1.2.3.4가동",1101061,1111061500,50.5351239669422,6.50511945392492,435.286982248521,2320.31165919283,114.884723376622,548.8830041875,61,1.77471557221241,5,2,0,0.748138216601482
"10",10,"서울특별시","종로구","종로5.6가동",1101063,1111063000,10.8142857142857,1.04,300.978292329957,672.517915309446,142.91087885745,830.340876988889,16,1.6942975954178,2,2,0,0.971682402127306
"11",11,"서울특별시","종로구","이화동",1101064,1111064000,3.62162162162162,1.67272727272727,530.796026490066,640.429928741093,134.940802128521,408.94358254186,21,1.53493892182723,1,2,0,0.569698353130681
"12",12,"서울특별시","종로구","혜화동",1101073,1111065000,46.2917647058824,15.6,180.5,1155.705,156.737949686563,549.180948808675,32,1.12291967776665,0,2,0,0.566980282087473
"13",13,"서울특별시","종로구","창신1동",1101067,1111067000,3.68609865470852,1.4622641509434,104.310714285714,458.178082191781,108.240823175096,495.771592479798,8,1.30833799123553,0,2,0,0.50741822431918
"14",14,"서울특별시","종로구","창신2동",1101068,1111068000,3.84322033898305,1,60.025641025641,299.985401459854,83.5267768462211,281.474578233911,2,1.09091383135493,1,2,0,0.339397549826678
"15",15,"서울특별시","종로구","창신3동",1101069,1111069000,1,1.49056603773585,10.2513089005236,187.065693430657,101.044830588962,386.697252971871,6,1.15097478089641,1,2,0,0.391022539675996
"16",16,"서울특별시","종로구","숭인1동",1101070,1111070000,3.05645161290323,1.28125,32.2161100196464,226.708222811671,91.5959728876424,422.745462192632,7,1.14120383662354,2,2,0,0.415987599940038
"17",17,"서울특별시","종로구","숭인2동",1101071,1111071000,7.04682274247492,8.27058823529412,37.5449915110357,672.145161290323,151.462012954937,497.846439509135,9,1.18454205013489,0,2,0,0.47172324407677
"18",18,"서울특별시","중구","소공동",1102052,1114052000,7.48214285714286,4.56451612903226,107.142857142857,1332.12761506276,192.808615473176,709.435894103571,24,2.14271313960243,2,2,0,0.742492761967138
"19",19,"서울특별시","중구","회현동",1102054,1114054000,7.19130434782609,1.76190476190476,224.677370030581,1347.72509225092,324.526710350667,749.669573821429,31,1.89368406248011,2,3,0,1.09003570423925
"20",20,"서울특별시","중구","명동",1102055,1114055000,20.5664160401003,12.6106870229008,325.10635155096,1216.79581151832,264.811964884213,858.760169833333,28,1.95819951009788,2,3,0,1.23646194675047
"21",21,"서울특별시","중구","필동",1102057,1114057000,23.82,7.30769230769231,58.819897084048,827.368421052632,130.14680900078,786.1343664025,9,1.62815986429852,0,2,0,0.770843990696051
"22",22,"서울특별시","중구","장충동",1102058,1114058000,3.03181818181818,2.52112676056338,13.2391304347826,455.712328767123,106.468517723814,554.173457082368,11,1.36248315924083,1,2,0,0.522534950160883
"23",23,"서울특별시","중구","광희동",1102059,1114059000,29.1303116147309,26.5194805194805,112.084563758389,1210.80313199105,47.6875684482622,737.685923812821,17,1.70185353051651,3,2,0,0.627291702252587
"24",24,"서울특별시","중구","을지로동",1102060,1114060500,18.7988505747126,2.22619047619048,109.811819595645,869.418118466899,188.885818573962,625.781365970588,16,2.31184168476124,4,2,0,0.614833554060755
"25",25,"서울특별시","중구","신당동",1102069,1114061500,9.49819494584838,26.5833333333333,60.7154213036566,741.512903225806,162.713406269744,839.349225418333,8,1.65062059241543,2,2,0,0.693428689397128
"26",26,"서울특별시","중구","다산동",1102070,1114062500,24.3184713375796,2.82352941176471,129.535842293907,653.489417989418,138.912687114522,590.474038103478,7,1.2391829045925,0,2,0,0.597461357201452
"27",27,"서울특별시","중구","약수동",1102071,1114063500,4.45756457564576,3.15217391304348,114.674963396779,620.399082568807,158.467619033612,633.978235247065,12,1.12080037526587,2,2,0,0.622565636167655
"28",28,"서울특별시","중구","청구동",1102072,1114064500,3.16149068322981,2.14634146341463,37.5302713987474,374.264214046823,236.607628256412,642.907812664045,6,1.21960271495048,0,3,0,0.757464631239247
"29",29,"서울특별시","중구","신당5동",1102065,1114065000,5.11923076923077,1.41071428571429,90.0017667844523,364.906451612903,136.616193509158,436.237258027119,9,1.23215937412061,0,2,0,0.45648660324618
"30",30,"서울특별시","중구","동화동",1102073,1114066500,4.61780104712042,1.34615384615385,66.9484732824427,452.206467661692,249.001630012683,572.138589225,4,1.21244602707418,0,3,0,0.691039237331641
"31",31,"서울특별시","중구","황학동",1102067,1114067000,5.37458193979933,16.7124600638978,72.1018518518518,755.567198177677,133.773414668036,697.920798844342,7,1.13384404485492,2,2,0,0.601328178783886
"32",32,"서울특별시","중구","중림동",1102068,1114068000,5.9935691318328,3.09677419354839,69.8015122873346,438.150684931507,228.359786907922,792.452279478992,11,1.31038986880156,0,3,0,0.987971232089998
"33",33,"서울특별시","용산구","후암동",1103051,1117051000,3.50416666666667,1.31578947368421,45.25625,718.393548387097,154.472380246023,538.91564825034,19,1.22948735576551,0,2,0,0.55012361053777
"34",34,"서울특별시","용산구","용산2가동",1103052,1117052000,2.39597315436242,1.23076923076923,28.7725225225225,472.242320819113,36.616545764893,336.133570224258,27,1.07182666818113,1,2,0,0.390569234954178
"35",35,"서울특별시","용산구","남영동",1103053,1117053000,594.502118644068,15.9914893617021,154.616129032258,692.816513761468,97.7287007184154,353.195536400826,21,1.48988692387479,2,1,0,0.665150913560518
